Date, Penny ML ,Equal Weighted Universe,Russell Micro Cap Growth,Russell 2000
"Nov 5, '23",239328,53806,91571,101831
"Nov 6, '23",239328,54524,90612,100519
"Nov 7, '23",238649,54205,90913,100248
"Nov 8, '23",241010,53846,89986,99153
"Nov 9, '23",243661,52132,88170,97610
"Nov 10, '23",243845,53846,89034,98668
"Nov 11, '23",241262,53846,89034,98668
"Nov 12, '23",241381,53846,89034,98668
"Nov 13, '23",241381,54324,89224,98687
"Nov 14, '23",254255,54683,93450,104086
"Nov 15, '23",258266,55759,93662,104259
"Nov 16, '23",266728,56995,92659,102685
"Nov 17, '23",266446,56477,94321,104083
"Nov 18, '23",271990,56477,94321,104083
"Nov 19, '23",272164,56477,94321,104083
"Nov 20, '23",272164,55799,94981,104627
"Nov 21, '23",275609,55799,93793,103251
